pathway_id,pathway_name,pathway_size,overlap,common_genes_in_pathway,p_value
WP4666,pathway_1490,152,42,"STAT1,CDKN1A,TLR2,EGR3,NFATC1,TBK1,MAP3K1,TGFB2,AKT3,TLR3,TGFB3,STAT4,STAT3,BRAF,PIK3CD,AKT2,PIK3CB,TLR4,TGFBR1,APAF1,NFATC3,BCL2,CASP9,STAT2,IL6,PIK3CA,FASLG,IRF3,CASP8,IFNA1,NFATC2,CASP3,NFATC4,BAX,TAB2,SOS1,TGFB1,TNF,AKT1,TAB1,STAT5A,CASP10",4.899452992705153e-21
path:hsa05161,pathway_343,162,43,"STAT1,CDKN1A,TLR2,EGR3,NFATC1,TBK1,MAP3K1,TGFB2,AKT3,TLR3,TP53,TGFB3,STAT4,STAT3,BRAF,PIK3CD,AKT2,PIK3CB,TLR4,TGFBR1,APAF1,NFATC3,BCL2,CASP9,STAT2,IL6,PIK3CA,FASLG,IRF3,CASP8,IFNA1,NFATC2,CASP3,NFATC4,BAX,TAB2,SOS1,TGFB1,TNF,AKT1,TAB1,STAT5A,CASP10",9.234022457715764e-21
WP4298,pathway_1410,78,27,"STAT1,CASP2,CASP7,CHRAC1,TLR3,CD40LG,STAT3,CXADR,CD4,TLR4,CASP6,BCL2,CASP9,IL6,CASP8,AKT1,CASP3,CCND1,BAX,SGCG,ACTB,SOS1,TGFB1,TNF,PARP1,SGCA,ABL2",9.29152608746913e-17
path:hsa05417,pathway_176,215,44,"MMP1,NCF2,TLR2,LDLR,NFATC1,TBK1,CASP7,MMP3,NCF4,AKT3,TP53,CD40LG,STAT3,PIK3CD,AKT2,TNFSF10,PIK3CB,TLR4,CCL2,APAF1,CASP6,NFATC3,BCL2,NCF1,CASP9,OLR1,IL6,PIK3CA,HSPD1,FASLG,IRF3,CASP8,NFE2L2,IFNA1,NFATC2,CASP3,VLDLR,PPARG,BAX,TAB2,TNF,AKT1,TAB1,NLRP3",1.5078872297381623e-16
R-HSA-168256,pathway_3696,1827,165,"CISH,TXLNA,TLR2,MAPKAPK3,HLA-DRB5,GLA,TREM2,CRLF1,PPIE,BTK,AKT3,CD40LG,TNFSF18,PGLYRP1,CD4,UBA1,APAF1,LAT,HLA-DRB1,CDC26,CAMP,BCL2,IL6ST,ENAH,PSEN1,CREG1,LTA,TLR1,APP,CASP10,IFI35,GH2,PELI1,S100A8,DEGS1,ACTB,RNF130,ABL2,NCF2,NFATC1,CDH1,DUSP7,SAA2,PTPRZ1,BST1,CNPY3,MAPKAPK2,GM2A,AKT2,TNFSF15,KIR3DL2,PIK3CB,TLR4,F2,NFATC3,PFKL,TLR7,NCF1,CASP9,IRS2,SAA1,IL6,APRT,MTOR,LEAP2,PPIA,IFNA1,NFATC2,PTEN,TOLLIP,LIF,CYLD,GMFG,ERP44,S100A9,TAB2,SOS1,HCST,PLAU,TBK1,SERPINA3,TRIM62,MAP3K1,LMO7,PGLYRP4,VASP,TAB3,GH1,MNDA,CXADR,MAPKAP1,PIK3CD,DUSP4,MME,EBI3,ISG20,RICTOR,OLR1,PIK3CA,FASLG,MYLIP,IRF3,CASP8,CASP3,FZR1,GAA,TNFSF9,LCP2,SP100,PROS1,STIM1,TNFSF8,CSF2,CLCF1,TNF,TAB1,STAT5A,SRP14,BLNK,DERA,STAT1,CAT,CASP2,PML,TNFSF11,TNFSF13,CD46,TLR10,NCF4,XDH,HGF,RBCK1,TLR3,TNFSF12,STAT4,STAT3,ANPEP,IL4,TLR8,ADAR,TNFSF13B,GHDC,PPBP,MMP8,GHR,CASP4,MLST8,TLR9,BST2,TNFRSF17,STAT2,PGLYRP3,ART1,ACTG1,TMBIM1,RCHY1,UNC13D,GPI,CLEC4D,TREX1,TEC,AKT1,TRIM10,MIF,NLRP3",2.9241895297176837e-16
R-HSA-1280215,pathway_3875,471,67,"CISH,TXLNA,STAT1,MAPKAPK3,HLA-DRB5,PML,TNFSF11,TNFSF13,DUSP7,CRLF1,PTPRZ1,TRIM62,HGF,TAB3,AKT3,MAPKAPK2,CLCF1,GH1,CD40LG,STAT4,TNFSF12,STAT3,ABL2,TNFSF18,IL4,PIK3CD,ADAR,DUSP4,TNFSF15,AKT2,PIK3CB,TNFSF13B,CD4,HLA-DRB1,EBI3,ISG20,GHR,IL6ST,IRS2,BST2,TNFRSF17,STAT2,IL6,PIK3CA,LTA,FASLG,IRF3,GH2,IFNA1,TOLLIP,LIF,CASP3,PELI1,TNFSF9,SP100,CSF2,TNFSF8,TAB2,TEC,SOS1,TNF,AKT1,TAB1,STAT5A,TRIM10,BLNK,IFI35",8.397112654069914e-16
path:hsa04068,pathway_138,131,32,"CDKN1A,RAG1,CAT,TGFB2,AKT3,TGFB3,STAT3,BRAF,PIK3CD,AKT2,TNFSF10,PIK3CB,IRS4,SIRT1,TGFBR1,BCL6,FOXO1,IGF1,EGF,IRS2,INSR,IL6,PIK3CA,INS,FASLG,BCL2L11,PTEN,IGF1R,CCND1,SOS1,TGFB1,AKT1",1.1259277907997994e-14
path:hsa04010,pathway_245,294,48,"NR4A1,RRAS,NFATC1,MAPKAPK3,ANGPT1,DUSP7,MAP3K1,HGF,FGF3,TGFB2,AKT3,MAPKAPK2,TGFB3,TP53,MAPT,MAPKAPK5,TGFA,BRAF,AKT2,DUSP4,TGFBR1,DUSP1,NFATC3,PGF,IGF1,BDNF,VEGFC,MRAS,EGF,INSR,MKNK1,ANGPT4,KITLG,INS,FASLG,DUSP10,MET,MKNK2,ANGPT2,IGF1R,CASP3,TAB2,NGF,SOS1,TGFB1,TNF,AKT1,TAB1",6.352199398504397e-14
path:hsa05162,pathway_344,139,32,"STAT1,TLR2,TP73,TBK1,CD46,AKT3,TP53,STAT3,PIK3CD,AKT2,ADAR,PIK3CB,TLR4,APAF1,TLR7,BCL2,CASP9,TLR9,STAT2,IL6,PIK3CA,FASLG,IRF3,CASP8,IFNA1,CASP3,CCND1,RCHY1,BAX,TAB2,AKT1,STAT5A",6.742649434623043e-14
path:hsa04060,pathway_309,295,48,"GDF7,RELT,TNFSF13,TNFSF11,TSLP,LEPR,TGFB2,NODAL,GH1,CD40LG,TNFSF12,TGFB3,TNFSF18,IFNK,IL4,TNFSF15,TNFSF13B,TNFSF10,CD4,TGFBR1,CCL2,CXCL9,PPBP,EBI3,GDF11,GHR,IL6ST,TNFRSF17,IL6,AMHR2,AMH,LTA,FASLG,PF4,GH2,IFNA1,LIF,CCL26,TNFSF9,CCL27,CSF2,TNFSF8,NGF,GDF6,TGFB1,TNF,LEP,CLCF1",7.24730790117279e-14
path:hsa04066,pathway_80,109,28,"CDKN1A,ANGPT1,AKT3,LDHAL6B,STAT3,PIK3CD,AKT2,PIK3CB,LDHC,TLR4,PFKL,IGF1,BCL2,EGF,INSR,MKNK1,ANGPT4,IL6,PFKM,PIK3CA,INS,MTOR,MKNK2,ANGPT2,IGF1R,GAPDH,LDHAL6A,AKT1",1.3307573823877537e-13
